"","x"
"1",10
"2",17
"3",12
"4",32
"5",6
"6",111
"7",12
"8",19
"9",70
"10",24
"11",22
"12",83
"13",36
"14",10
"15",302
"16",92
"17",8
"18",42
"19",3
"20",16
"21",51
"22",18
"23",10
"24",18
"25",8
"26",10
"27",11
"28",34
"29",18
"30",33
"31",13
"32",12
"33",41
"34",37
"35",34
"36",9
"37",24
"38",90
"39",16
"40",39
"41",48
"42",11
"43",33
"44",39
"45",21
"46",179
"47",16
"48",13
"49",59
"50",360
"51",65
"52",77
"53",17
"54",45
"55",97
"56",27
"57",118
"58",244
"59",9
"60",75
"61",20
"62",9
"63",70
"64",34
"65",5
"66",22
"67",63
"68",12
"69",25
"70",12
"71",19
"72",104
"73",7
"74",9
"75",69
"76",27
"77",53
"78",23
"79",16
"80",11
"81",11
"82",14
"83",13
"84",21
"85",12
"86",15
"87",17
"88",15
"89",4
"90",40
"91",11
"92",4
"93",66
"94",8
"95",73
"96",10
"97",9
"98",3
"99",73
"100",5
